route_code,country_code,city,poi_name,poi_type,latitude,longitude,google_place_id,rating,user_rating_count,phone,website,address,opening_hours,osm_id,source,km_from_start,notes
COMMON,RS,Belgrad,Зира,hotel,44.8087925,20.4826019,,,,,,"Рузвелтова 35, 11000, Београд",,node/702297249,overpass,1400,
COMMON,RS,Belgrad,Nobel Design,hotel,44.8112727,20.4601096,,,,,,,,node/1913797998,overpass,1400,
COMMON,RS,Belgrad,City Joy,hotel,44.8089808,20.4736454,,,,,,,,node/3514692698,overpass,1400,
COMMON,RS,Belgrad,Bed & Breakfast Belgrade,hotel,44.8212269,20.4612424,,,,,,"Капетан Мишина 16, 11000, Београд",,node/3942402739,overpass,1400,
COMMON,RS,Belgrad,Lola Hotel,hotel,44.805437,20.4743268,,,,,,Булевар краља Александра 84,,node/3988641513,overpass,1400,
COMMON,RS,Belgrad,Jump Inn Hotel,hotel,44.8122598,20.4538043,,,,,https://www.jumpinnhotelbelgrade.com/,Коче Поповића 2a,,node/4176302390,overpass,1400,
COMMON,RS,Belgrad,Savamala bed&breakfast,hotel,44.8134301,20.4535024,,,,,,Краљевића Марка 6,,node/4176313589,overpass,1400,
COMMON,RS,Belgrad,Mr. President,hotel,44.8108062,20.4552125,,,,,,,24/7,node/4176368603,overpass,1400,
COMMON,RS,Belgrad,Apartments Fly,hotel,44.8150359,20.4552858,,,,,,Бранкова 18,,node/4238894689,overpass,1400,
COMMON,RS,Belgrad,Luxury Private Apartment Skadarlija,hotel,44.8169192,20.4638388,,,,,,,,node/4457783889,overpass,1400,
COMMON,RS,Belgrad,Leposava Airbnb,hotel,44.8089869,20.4592541,,,,,,,,node/5118848922,overpass,1400,
COMMON,RS,Belgrad,Iva Center Apartment,hotel,44.816625,20.4579905,,,,+381600573355,,,24/7,node/5171686122,overpass,1400,
COMMON,RS,Belgrad,Капитал хотел,hotel,44.8186765,20.4541696,,,,+381 60 6824233,https://www.capitalhotel.rs/,,,node/5312456219,overpass,1400,
COMMON,RS,Belgrad,Mama Shelter Belgrade,hotel,44.819985,20.4543822,,,,+381 11 3333000,https://www.mamashelter.com/sr/beograd,,,node/5438624053,overpass,1400,
COMMON,RS,Belgrad,Pavilion,hotel,44.8205716,20.4639024,,,,,,,,node/5586134922,overpass,1400,
COMMON,RS,Belgrad,Хотел Опера,hotel,44.8161021,20.4621072,,,,+381 11 7151320,http://hotelopera.rs/,Браће Југовића 16,,node/6167139585,overpass,1400,
COMMON,RS,Belgrad,Смоквица B&B Дорћол,hotel,44.8209855,20.4611513,,,,+381 69 4464002,https://www.smokvica.rs/bb-jovanova/,Господар Јованова 45a,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 07:00-00:00,node/6289081303,overpass,1400,
COMMON,RS,Belgrad,Argo,hotel,44.8066091,20.464608,,,,,,,,node/6774940786,overpass,1400,
COMMON,RS,Belgrad,Villa Skadarlija,hotel,44.8170098,20.4650847,,,,,,,,node/6782867193,overpass,1400,
COMMON,RS,Belgrad,Srbija Garden,hotel,44.8145642,20.4554861,,,,,,,,node/6793621985,overpass,1400,
COMMON,RS,Belgrad,Bongo,hotel,44.8113472,20.4609462,,,,,,,,node/7432860386,overpass,1400,
COMMON,RS,Belgrad,Zepter Hotel,hotel,44.8140814,20.4601774,,,,,https://www.hotelzepter.rs/,,,node/8369598347,overpass,1400,
COMMON,RS,Belgrad,Marshal,hotel,44.8146309,20.4583061,,,,+381 11 4115577,https://hotelmarshal.rs,,,node/9091313725,overpass,1400,
COMMON,RS,Belgrad,Bohemian Garni,hotel,44.818323,20.4653784,,,,,,Скадарска 40c,,node/9131128915,overpass,1400,
COMMON,RS,Belgrad,Omia,hotel,44.8065622,20.4574934,,,,+381 11 4529234,,Хајдук Вељков венац 6,,node/9467102705,overpass,1400,
COMMON,RS,Belgrad,НИС Петрол,gas_station,44.8227266,20.4555852,,,,0800 00 8888,https://www.nisgazprom.rs/,"Господар Јевремова, 11000, Београд",Mo-Su 07:00-19:00,node/488584038,overpass,1400,
COMMON,RS,Belgrad,НИС Петрол,gas_station,44.8202033,20.4670394,,,,0800 00 8888,https://www.nisgazprom.rs/,"Венизелосова 1A, 11000, Београд",24/7,node/3075776963,overpass,1400,
COMMON,RS,Belgrad,Арт Петрол,gas_station,44.8128941,20.4819837,,,,+381 11 3574261,https://www.artpetrol.rs/,,24/7,node/4307617993,overpass,1400,
COMMON,RS,Belgrad,Art Petrol,gas_station,44.8130745,20.4410165,,,,,https://www.artpetrol.rs/,,24/7,node/9270713029,overpass,1400,
COMMON,RS,Belgrad,Euro Petrol,gas_station,44.8226205,20.4805999,,,,+381 64 8774373,https://www.euro-petrol.com/,,Mo-Sa 07:00-19:00,node/12754819247,overpass,1400,
COMMON,RS,Belgrad,Арт Петрол,gas_station,44.8242559,20.4629732,,,,+381 11 3574261,https://www.artpetrol.rs/,,24/7,node/12768137446,overpass,1400,
COMMON,RS,Belgrad,KryoGas,gas_station,44.8165295,20.4882493,,,,+381 11 2761759,https://www.kryogas.rs/,,24/7,node/12768968560,overpass,1400,
COMMON,RS,Belgrad,Lukoil,gas_station,44.8201525,20.4492798,,,,+381 11 2220200,https://lukoil.rs,,24/7,node/12771814899,overpass,1400,
COMMON,RS,Belgrad,Lukoil,gas_station,44.8127423,20.4381705,,,,+381 11 2220200,https://lukoil.rs,,24/7,node/12771863130,overpass,1400,
COMMON,RS,Belgrad,Mobil,gas_station,44.8268721,20.464596,,,,,,,,way/675324010,overpass,1400,
COMMON,RS,Belgrad,Газпром,gas_station,44.8141437,20.4364768,,,,0800 00 8888,https://www.nisgazprom.rs/,"Булевар Михајла Пупина, 11000, Београд",24/7,way/1091270535,overpass,1400,
COMMON,RS,Belgrad,НИС Петрол,gas_station,44.8168546,20.4773013,,,,0800 00 8888,https://www.nisgazprom.rs/,,24/7,way/1372984619,overpass,1400,
COMMON,RS,Belgrad,НИС Петрол,gas_station,44.8064184,20.4836416,,,,0800 00 8888,https://www.nisgazprom.rs/,,Mo-Su 07:00-19:00,way/1375349784,overpass,1400,
COMMON,RS,Belgrad,ЕКО Петрол,gas_station,44.8158335,20.4889334,,,,+381 11 2061500,https://www.ekoserbia.com/,,24/7,way/1387449256,overpass,1400,
COMMON,RS,Belgrad,Auto električar,workshop,44.8252982,20.4636918,,,,,,,,node/1580303637,overpass,1400,
COMMON,RS,Belgrad,Torex,workshop,44.8119477,20.4861845,,,,,http://torex.rs/,Чарлија Чаплина 62,,node/3212289630,overpass,1400,
COMMON,RS,Belgrad,Аутоелектрика Искра,workshop,44.8108026,20.4829971,,,,+381 63 225766,,Војводе Вука 12,Mo-Fr 08:00-17:00; Sa 08:00-12:00,node/4307617789,overpass,1400,
COMMON,RS,Belgrad,Auto servis Burgund,workshop,44.806888,20.4812593,,,,+381649406755,,,Mo-Sa 08:00-18:00,node/5723742522,overpass,1400,
COMMON,RS,Belgrad,Auto service,workshop,44.8122295,20.4393869,,,,,,,,node/6792920193,overpass,1400,
COMMON,RS,Belgrad,АК Компресор,workshop,44.8226016,20.4693038,,,,,https://www.akkompresor.rs,,,node/7141284648,overpass,1400,
COMMON,RS,Belgrad,Ауто сервис Ђилас,workshop,44.8266102,20.468756,,,,,,Дунавски кеј 42,,node/8569731438,overpass,1400,
COMMON,RS,Belgrad,Центар Бобан,workshop,44.8266765,20.4648166,,,,+381 11 2620046,https://centarboban.com/,,,node/9091313052,overpass,1400,
COMMON,RS,Belgrad,Tehnički Pregled Vozila,workshop,44.8028551,20.4525552,,,,,,Вишеградска 1,Mo-Fr 08:00-16:00; Sa 08:00-15:00,node/11445995862,overpass,1400,
COMMON,RS,Belgrad,МО,workshop,44.8109356,20.4609944,,,,,,,,node/11590021655,overpass,1400,
COMMON,BG,Sofia,Hotel Zenith,hotel,42.684801,23.3220431,,,,,http://hotelzenith.net/,"Любен Каравелов 81, 1142, София",,node/387817246,overpass,1790,
COMMON,BG,Sofia,Central Park,hotel,42.6857588,23.3170366,,,,+359 2 805 8181,https://centralparkhotel.bg/,,,node/393827421,overpass,1790,
COMMON,BG,Sofia,Хотел Хемус,hotel,42.6779889,23.3223807,,,,+359 2 816 5000,http://www.hemushotels.com/,"бул. Черни връх 31, 1421, София",,node/707663832,overpass,1790,
COMMON,BG,Sofia,Рила,hotel,42.6956066,23.3230568,,,,+359 2 937 9136,https://hotelrila.bg/,,,node/1699937923,overpass,1790,
COMMON,BG,Sofia,Арте хотел,hotel,42.697971,23.3249275,,,,+359 2 402 7100,https://www.artehotelbg.com/,бул. Княз Александър Дондуков 5,,node/1740286506,overpass,1790,
COMMON,BG,Sofia,Scotty's Boutique Hotel,hotel,42.7006456,23.3207018,,,,,https://scotty-s-sofia.hotel-rez.com/,"Екзарх Йосиф 11, 1000",,node/1854248340,overpass,1790,
COMMON,BG,Sofia,Ники,hotel,42.690654,23.3165775,,,,+359 2 952 3058,http://hotel-niky.com/,,,node/1980807449,overpass,1790,
COMMON,BG,Sofia,Maxim Boutique Hotel,hotel,42.7057274,23.3241303,,,,,,,,node/2568015698,overpass,1790,
COMMON,BG,Sofia,Rosslyn Thracia Hotel Sofia,hotel,42.6930699,23.3186169,,,,+359 2 801 7900,https://thracia.rosslyn-hotels.com/,,,node/2586978571,overpass,1790,
COMMON,BG,Sofia,Social Sofia,hotel,42.6917902,23.3165571,,,,,,Уилям Гладстон 12A,,node/2770490299,overpass,1790,
COMMON,BG,Sofia,Alabin Central,hotel,42.6947733,23.3173365,,,,+359 2 987 8766,http://hotelalabincentral.com/,1000,,node/2911271122,overpass,1790,
COMMON,BG,Sofia,St. George,hotel,42.6903521,23.3169988,,,,+359 2 465 0130,https://stgeorge-bg.com/,,,node/2911969671,overpass,1790,
COMMON,BG,Sofia,Арт Плаза,hotel,42.689414,23.320323,,,,+359 2 980 0030,https://www.artplazahotel.bg/,"Христо Белчев 46, 1000",,node/2915068951,overpass,1790,
COMMON,BG,Sofia,Sofia Place Hotel,hotel,42.6919184,23.3211148,,,,+359 2 481 1400,https://sofiaplacehotel.com/,,,node/2918408524,overpass,1790,
COMMON,BG,Sofia,Les fleurs,hotel,42.6937293,23.3206785,,,,+359 2 810 0800,https://www.lesfleurshotel.com/,"бул. Витоша 21, 1000",,node/2918444634,overpass,1790,
COMMON,BG,Sofia,Art 'Otel,hotel,42.6913509,23.3212598,,,,+359 2 980 6000,https://www.artotel.bg/,"Уилям Гладстон 44, 1000",,node/2919505573,overpass,1790,
COMMON,BG,Sofia,Дитер Хотел,hotel,42.6894181,23.3243974,,,,+359 2 989 8998,https://diterhotel.com/,"Хан Аспарух 65, 1000",,node/3007629878,overpass,1790,
COMMON,BG,Sofia,The Moon Boutique Hotel,hotel,42.6886376,23.3272038,,,,,,бул. Патриарх Евтимий 10,,node/3011357883,overpass,1790,
COMMON,BG,Sofia,Downtown,hotel,42.6869451,23.3247371,,,,+359 2 930 5200,http://www.hotel-downtown.net/,"бул. Васил Левски 27, 1040",,node/3011463950,overpass,1790,
COMMON,BG,Sofia,Къщата,hotel,42.6876609,23.3180151,,,,+359 2 952 0830,https://hotelthehouse.com/,"Верила 4, 1463",,node/3012502852,overpass,1790,
COMMON,BG,Sofia,Цар Асен,hotel,42.6876839,23.3170111,,,,,http://hotel-tzar-asen.hit.bg/,"Цар Асен 68, 1463",,node/3013164398,overpass,1790,
COMMON,BG,Sofia,InterContinental,hotel,42.6930626,23.3325775,,,,+359 2 933 4334,https://www.ihg.com/,,,node/3017228313,overpass,1790,
COMMON,BG,Sofia,Славянска Беседа,hotel,42.6935552,23.3284407,,,,+359 2 935 9835,https://slavyanska.com/,"Славянска 3, 1000",,node/3019217797,overpass,1790,
COMMON,BG,Sofia,Casa Ferrari B&B,hotel,42.6911315,23.3125691,,,,+359 89 843 6700,https://casaferrari.com/,Люлин планина 16,,node/3028728208,overpass,1790,
COMMON,BG,Sofia,Мег-Лозeнец,hotel,42.6788408,23.322739,,,,+359 2 965 1970,http://www.meg-lozenetz.com/,"Крум Попов 84, 1421, София",,node/3069025654,overpass,1790,
COMMON,BG,Sofia,OMV,gas_station,42.7035766,23.3108261,,,,+359 9876919733,,"Опълченска 35, 1000, София",24/7,node/254476709,overpass,1790,
COMMON,BG,Sofia,InteSpeed,gas_station,42.6986351,23.3459473,,,,,,"Силистра, София",24/7,node/254476741,overpass,1790,
COMMON,BG,Sofia,Shell,gas_station,42.7051361,23.3111521,,,,,,,,node/254476758,overpass,1790,
COMMON,BG,Sofia,ЕкоПетрол,gas_station,42.6924183,23.2954226,,,,,,"Гюешево 80, София",24/7,node/254476860,overpass,1790,
COMMON,BG,Sofia,Shell,gas_station,42.7142738,23.3279417,,,,+359 88 589 9662,,,24/7,node/254476885,overpass,1790,
COMMON,BG,Sofia,Петрол,gas_station,42.7031259,23.2975007,,,,,https://www.petrol.bg/,,24/7,node/254476908,overpass,1790,
COMMON,BG,Sofia,Insa Oil,gas_station,42.6955857,23.3128396,,,,,,"Дамян Груев 7, 1303, София","Mo-Su,PH 00:00-24:00",node/254476910,overpass,1790,
COMMON,BG,Sofia,OMV,gas_station,42.7117498,23.3310944,,,,+359 2 932 98069,,,24/7,node/254476911,overpass,1790,
COMMON,BG,Sofia,OMV,gas_station,42.7106476,23.3084807,,,,+359 2 932 98102,,,24/7,node/688820149,overpass,1790,
COMMON,BG,Sofia,Метанстанция Метагаз,gas_station,42.7127345,23.342995,,,,,,"Първа българска армия 84, 1225, София",,node/5912311341,overpass,1790,
COMMON,BG,Sofia,EKO,gas_station,42.6975081,23.2960863,,,,,,бул. Константин Величков,,node/9127420375,overpass,1790,
COMMON,BG,Sofia,Круиз,gas_station,42.7117862,23.3441995,,,,,,,,node/9910160646,overpass,1790,
COMMON,BG,Sofia,Shell,gas_station,42.7063592,23.3058715,,,,,,Илийчо П. Илиев,,node/11537298842,overpass,1790,
COMMON,BG,Sofia,PowerOil,gas_station,42.7005778,23.3051643,,,,,,,,node/12025576641,overpass,1790,
COMMON,BG,Sofia,Лукойл,gas_station,42.6946795,23.2942805,,,,,https://www.lukoil.bg/,,,way/96945660,overpass,1790,
COMMON,BG,Sofia,Петрол,gas_station,42.6898651,23.30654,,,,,,,24/7,way/272738893,overpass,1790,
COMMON,BG,Sofia,OMV,gas_station,42.7078184,23.3415944,,,,+359 2 93298101,,,24/7,way/365090828,overpass,1790,
COMMON,BG,Sofia,EKO,gas_station,42.7104551,23.3357536,,,,,,,,way/463248002,overpass,1790,
COMMON,BG,Sofia,OMV,gas_station,42.7018088,23.3511091,,,,+359 2 93298216,,"бул. Владимир Вазов, София",24/7,way/464062270,overpass,1790,
COMMON,BG,Sofia,Shell,gas_station,42.7026281,23.3507679,,,,,,"бул. Владимир Вазов, София",,way/464062273,overpass,1790,
COMMON,BG,Sofia,EKO,gas_station,42.7146748,23.3057796,,,,,,Пражка пролет,,way/478164236,overpass,1790,
COMMON,BG,Sofia,Лукойл,gas_station,42.7023927,23.2974432,,,,,https://www.lukoil.bg/,,,way/660003923,overpass,1790,
COMMON,BG,Sofia,Алпи,gas_station,42.7043444,23.302407,,,,,,Цар Симеон,,way/672910535,overpass,1790,
COMMON,BG,Sofia,Eco Petrol,gas_station,42.7072584,23.3323903,,,,,,бул. Константин Стоилов,24/7,way/672984005,overpass,1790,
COMMON,BG,Sofia,Лукойл,gas_station,42.70435,23.331299,,,,,https://www.lukoil.bg/,"бул. Сливница 216, 1202, София",24/7,way/696076922,overpass,1790,
COMMON,BG,Sofia,Вулканизатор,workshop,42.7141736,23.3054352,,,,,,,,node/3774198501,overpass,1790,
COMMON,BG,Sofia,Алпио,workshop,42.701187,23.345229,,,,+359 88 883 6606,,Васил Петлешков 1,,node/3944695687,overpass,1790,
COMMON,BG,Sofia,Сервиз и хотел за гуми,workshop,42.7056466,23.3325527,,,,+359 88 741 1653,,,,node/3944806771,overpass,1790,
COMMON,BG,Sofia,Автоцентър РИЦ,workshop,42.707038,23.341225,,,,+359 88 870 3940,http://www.ritz.bg,"Резбарска 2, 1510, София",24/7,node/4081015692,overpass,1790,
COMMON,BG,Sofia,Стиви ауто,workshop,42.7060816,23.3286102,,,,+359 88 892 6301,http://www.stiviauto.com/,"Георги С. Раковски 17, 1202",Mo-Fr 09:00-18:00; Sa 08:30-15:00,node/4129755959,overpass,1790,
COMMON,BG,Sofia,Коба,workshop,42.7070374,23.3277754,,,,,,,,node/4282118333,overpass,1790,
COMMON,BG,Sofia,Голдън гиър бокс,workshop,42.708379,23.3004856,,,,,,,,node/4424996191,overpass,1790,
COMMON,BG,Sofia,Tomford,workshop,42.6999651,23.348121,,,,,,,,node/4514937939,overpass,1790,
COMMON,BG,Sofia,Ratola Service,workshop,42.7119353,23.3294267,,,,,,,,node/4585491347,overpass,1790,
COMMON,BG,Sofia,Радиал гуми-център,workshop,42.6999153,23.3452553,,,,,,"бул. Генерал Данаил Николаев 7А, София",,node/4585624052,overpass,1790,
COMMON,BG,Sofia,Тара кар сервиз,workshop,42.7068066,23.3410561,,,,,,,,node/4585717370,overpass,1790,
COMMON,BG,Sofia,Олег,workshop,42.7028994,23.3438884,,,,,,,,node/4585735535,overpass,1790,
COMMON,BG,Sofia,Inoxis,workshop,42.7010798,23.3487495,,,,,,,,node/4592209056,overpass,1790,
COMMON,BG,Sofia,Bosch Car Service,workshop,42.7020927,23.3385529,,,,,,,Mo-Fr 09:00-17:00,node/5241040324,overpass,1790,
COMMON,BG,Sofia,Ford car parts,workshop,42.7035439,23.3076801,,,,,,"Цар Симеон 151, София",Mo-Fr 09:00-18:00; Sa 09:00-14:00,node/5318636910,overpass,1790,
COMMON,BG,Sofia,Катана,workshop,42.7064402,23.3125791,,,,,,,,node/5395706024,overpass,1790,
COMMON,BG,Sofia,BMG Folio,workshop,42.7059012,23.331758,,,,+359 88 877 1118,http://folio-auto-bmg.com/,,Mo-Sa 08:00-18:00,node/5494021439,overpass,1790,
COMMON,BG,Sofia,Фолиа Дизайн ООД,workshop,42.7100319,23.3007883,,,,+359 88 900 0523,http://www.foliadesign.eu/,София,,node/5755934215,overpass,1790,
COMMON,BG,Sofia,Аутоброни корект,workshop,42.711546,23.3447766,,,,+359 88 781 5974,http://www.bronibg.com,Първа българска армия 92,Mo-Fr 10:00-17:00,node/5934535203,overpass,1790,
COMMON,BG,Sofia,Finesse,workshop,42.7077703,23.3030964,,,,,,,,node/5966599778,overpass,1790,
COMMON,BG,Sofia,Автосервиз Арби Ауто,workshop,42.706292,23.3007883,,,,,,,,node/6573929979,overpass,1790,
COMMON,BG,Sofia,Палма,workshop,42.70564,23.3068705,,,,,,,,node/6641461310,overpass,1790,
COMMON,BG,Sofia,RS gas,workshop,42.6965976,23.3123819,,,,+359 88 683 9880,http://rsgas.bg,Антим I 2А,,node/6669734090,overpass,1790,
COMMON,BG,Sofia,TG Service,workshop,42.7043665,23.3136182,,,,,,,,node/6742680749,overpass,1790,
COMMON,BG,Sofia,Палма,workshop,42.7058084,23.3069105,,,,,,,,node/7122851748,overpass,1790,
COMMON,TR,Edirne,Hanedan Restaurant,restaurant,41.6672304,26.553684,,,,,,,,node/1801477173,overpass,2120,
COMMON,TR,Edirne,Emirgan,restaurant,41.6624287,26.5508866,,,,,,,,node/1801477202,overpass,2120,
COMMON,TR,Edirne,Lalezar,restaurant,41.662216,26.5492829,,,,,,,,node/3110808455,overpass,2120,
COMMON,TR,Edirne,Villa Restaurant,restaurant,41.6623689,26.5505227,,,,,,Edirne,,node/3236726241,overpass,2120,
COMMON,TR,Edirne,Birtat Köfte - Çorba Salonu,restaurant,41.6625914,26.576472,,,,02842122385,,,,node/4376941806,overpass,2120,
COMMON,TR,Edirne,Bizim Ciğerci,restaurant,41.6768228,26.5581999,,,,,,,,node/6612268490,overpass,2120,
COMMON,TR,Edirne,Serhad köftecisi,restaurant,41.6758237,26.5545275,,,,02842130429,,"Tahmis Çarşısı Sokak 02842130429, 22100",Mo-Su 09:00-23:00,node/7005874385,overpass,2120,
COMMON,TR,Edirne,Aydın Tava Ciğer,restaurant,41.675859,26.5544307,,,,,,"Tahmis Çarşısı Sokak, 22100, Edirne",,node/7947259045,overpass,2120,
COMMON,TR,Edirne,Ciğerci Niyazi Usta,restaurant,41.67552,26.5519402,,,,,,,,node/9176373617,overpass,2120,
COMMON,TR,Edirne,Avcılar Restaurant,restaurant,41.6642031,26.5792595,,,,,,,,node/9725161642,overpass,2120,
COMMON,TR,Edirne,Chef Mr. Minion,restaurant,41.6692127,26.5679769,,,,,,,,node/9725207399,overpass,2120,
COMMON,TR,Edirne,Antik Mutfak Lokanta,restaurant,41.67441,26.5526266,,,,,,,,node/9881738717,overpass,2120,
COMMON,TR,Edirne,Tahtakale Çorbacısı,restaurant,41.6734255,26.5538559,,,,,,,,node/10031215017,overpass,2120,
COMMON,TR,Edirne,Serhad Tava Ciğer ve Izgara,restaurant,41.675769,26.554736,,,,,,,,node/10031377718,overpass,2120,
COMMON,TR,Edirne,Ekrem  Coşkun,restaurant,41.6759789,26.5541864,,,,,,,,node/10031501017,overpass,2120,
COMMON,TR,Edirne,Aydın Tava Ciğer ve İzgara,restaurant,41.675756,26.5547477,,,,,,,,node/10031533717,overpass,2120,
COMMON,TR,Edirne,Arzum Doğal Çiğköfte,restaurant,41.6763981,26.5546042,,,,,,,,node/10031780717,overpass,2120,
COMMON,TR,Edirne,Ömür Piliç Lokantası,restaurant,41.6745227,26.5536936,,,,,,,,node/10032025717,overpass,2120,
COMMON,TR,Edirne,Enfes Lokanta,restaurant,41.674484,26.5536695,,,,+902842139988,,Çilingirler Caddesi 71,,node/10032025817,overpass,2120,
COMMON,TR,Edirne,Ömür 2,restaurant,41.6747584,26.5539196,,,,,,,,node/10059396017,overpass,2120,
COMMON,TR,Edirne,Yasem Balıkçı,restaurant,41.674027,26.5529976,,,,,,,,node/10716271759,overpass,2120,
COMMON,TR,Edirne,Külliye Büfe,restaurant,41.6863548,26.5433761,,,,,,,,node/12033346381,overpass,2120,
COMMON,TR,Edirne,Saray Restaurant,restaurant,41.6762444,26.5542124,,,,,,,,node/13109193698,overpass,2120,
COMMON,TR,Edirne,Ponsetya Et & Balık Restaurant,restaurant,41.6642752,26.5720801,,,,,,,,node/13176104235,overpass,2120,
COMMON,TR,Edirne,Happy Grill Restaurant,restaurant,41.6641931,26.5722384,,,,,,,,node/13176104236,overpass,2120,
COMMON,TR,Edirne,Saray,hotel,41.6734209,26.5542698,,,,,,,,node/1801476936,overpass,2120,
COMMON,TR,Edirne,Arzum Pansiyon,hotel,41.6794572,26.5586083,,,,,https://www.arzumpansiyon.net/,Saray Hamam sk.,,node/5684470622,overpass,2120,
COMMON,TR,Edirne,MHT apart,hotel,41.6708807,26.5562766,,,,,,,,node/8820178269,overpass,2120,
COMMON,TR,Edirne,Hotel tac,hotel,41.6734738,26.5544663,,,,,,,,node/9823218341,overpass,2120,
COMMON,TR,Edirne,Comfort Center Suit Hotel,hotel,41.6771372,26.5522389,,,,,,"Çavuşbey Mahallesi Atatürk Caddesi 330, 22100",,node/9866639923,overpass,2120,
COMMON,TR,Edirne,Ξενοδοχείο,hotel,41.6727762,26.5556349,,,,,,"Eski İstanbul Caddesi 46, 22100",,node/12020369969,overpass,2120,
COMMON,TR,Edirne,ξενοδοχείο,hotel,41.6727949,26.5557266,,,,,,"Eski İstanbul Caddesi 48, 2210",,node/12020375569,overpass,2120,
